OrganisationID	OrganisationCode	OrganisationName	MetricName	Value	Text,
979316	00MB	West Berkshire Council	User satisfaction	58	58 of users are satisfied with their care and support Below average,
979316	00MB	West Berkshire Council	Users' quality of life	18.8	18.8 out of 24 Average,
979323	45	West Sussex County Council	Carer satisfaction	43.0%	43.0% of carers are satisfied with their care and support Around average,
979323	45	West Sussex County Council	Carer's quality of life	7.8	7.8 out of 12 Below average,
979323	45	West Sussex County Council	Permanent admissions to care homes: younger adults	18.8	18.8 admissions per 100,000 younger adults In the highest 20%
979323	45	West Sussex County Council	The proportion of people aged 65 and over who use social care services who feel safe	68.70%	Around average - 68.70%% of users of social care services felt safe,
979323	45	West Sussex County Council	User satisfaction	65	65 of users are satisfied with their care and support Around average,
979323	45	West Sussex County Council	Users' quality of life	19.1	19.1 out of 24 Average,
979324	00BK	London Borough of Westminster	Carer satisfaction	30.8%	30.8% of carers are satisfied with their care and support Below average,
979324	00BK	London Borough of Westminster	Carer's quality of life	6.6	6.6 out of 12 Below average,
979324	00BK	London Borough of Westminster	Permanent admissions to care homes: younger adults	25.4	25.4 admissions per 100,000 younger adults In the highest 20%
979324	00BK	London Borough of Westminster	The proportion of people aged 65 and over who use social care services who feel safe	61.70%	Around average - 61.70%% of users of social care services felt safe,
979324	00BK	London Borough of Westminster	User satisfaction	60.1	60.1 of users are satisfied with their care and support Around average,
979324	00BK	London Borough of Westminster	Users' quality of life	18.6	18.6 out of 24 Average,
979326	00BW	Wigan Metropolitan Borough Council	Carer satisfaction	44.2%	44.2% of carers are satisfied with their care and support Around average,
979326	00BW	Wigan Metropolitan Borough Council	Carer's quality of life	8	8 out of 12 Around average,
979326	00BW	Wigan Metropolitan Borough Council	Permanent admissions to care homes: younger adults	13.8	13.8 admissions per 100,000 younger adults In the middle 60%
979326	00BW	Wigan Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	64.10%	Around average - 64.10%% of users of social care services felt safe,
979326	00BW	Wigan Metropolitan Borough Council	User satisfaction	67.5	67.5 of users are satisfied with their care and support Around average,
979326	00BW	Wigan Metropolitan Borough Council	Users' quality of life	18.6	18.6 out of 24 Average,
979327	00HY	Wiltshire Council (Unitary)	Carer satisfaction	42.1%	42.1% of carers are satisfied with their care and support Around average,
979327	00HY	Wiltshire Council (Unitary)	Carer's quality of life	7.7	7.7 out of 12 Below average,
979327	00HY	Wiltshire Council (Unitary)	Permanent admissions to care homes: younger adults	31.1	31.1 admissions per 100,000 younger adults In the highest 20%
979327	00HY	Wiltshire Council (Unitary)	The proportion of people aged 65 and over who use social care services who feel safe	67.50%	Around average - 67.50%% of users of social care services felt safe,
979327	00HY	Wiltshire Council (Unitary)	User satisfaction	64.6	64.6 of users are satisfied with their care and support Around average,
979327	00HY	Wiltshire Council (Unitary)	Users' quality of life	19.4	19.4 out of 24 Above average,
979329	00ME	Royal Borough of Windsor and Maidenhead	Carer satisfaction	39.0%	39.0% of carers are satisfied with their care and support Around average,
979329	00ME	Royal Borough of Windsor and Maidenhead	Carer's quality of life	8	8 out of 12 Around average,
979329	00ME	Royal Borough of Windsor and Maidenhead	Permanent admissions to care homes: younger adults	16	16 admissions per 100,000 younger adults In the middle 60%
979329	00ME	Royal Borough of Windsor and Maidenhead	The proportion of people aged 65 and over who use social care services who feel safe	67.50%	Around average - 67.50%% of users of social care services felt safe,
979329	00ME	Royal Borough of Windsor and Maidenhead	User satisfaction	56.4	56.4 of users are satisfied with their care and support Below average,
979329	00ME	Royal Borough of Windsor and Maidenhead	Users' quality of life	18.8	18.8 out of 24 Average,
979330	00CB	Wirral Council	Carer satisfaction	41.1%	41.1% of carers are satisfied with their care and support Around average,
979330	00CB	Wirral Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979330	00CB	Wirral Council	Permanent admissions to care homes: younger adults	18.1	18.1 admissions per 100,000 younger adults In the highest 20%
979330	00CB	Wirral Council	The proportion of people aged 65 and over who use social care services who feel safe	66.90%	Around average - 66.90%% of users of social care services felt safe,
979330	00CB	Wirral Council	User satisfaction	64.3	64.3 of users are satisfied with their care and support Around average,
979330	00CB	Wirral Council	Users' quality of life	19.4	19.4 out of 24 Average,
979332	00MF	Wokingham Borough Council	Carer satisfaction	42.1%	42.1% of carers are satisfied with their care and support Around average,
979332	00MF	Wokingham Borough Council	Carer's quality of life	8.5	8.5 out of 12 Above average,
979332	00MF	Wokingham Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	66.20%	Around average - 66.20%% of users of social care services felt safe,
979332	00MF	Wokingham Borough Council	User satisfaction	66.9	66.9 of users are satisfied with their care and support Around average,
979332	00MF	Wokingham Borough Council	Users' quality of life	19.2	19.2 out of 24 Average,
979333	00CW	Wolverhampton City Council	Carer satisfaction	43.7%	43.7% of carers are satisfied with their care and support Around average,
979333	00CW	Wolverhampton City Council	Carer's quality of life	7.5	7.5 out of 12 Below average,
979333	00CW	Wolverhampton City Council	Permanent admissions to care homes: younger adults	13.1	13.1 admissions per 100,000 younger adults In the middle 60%
979333	00CW	Wolverhampton City Council	The proportion of people aged 65 and over who use social care services who feel safe	73.20%	Above average - 73.20%% of users of social care services felt safe,
979333	00CW	Wolverhampton City Council	User satisfaction	62.5	62.5 of users are satisfied with their care and support Around average,
979333	00CW	Wolverhampton City Council	Users' quality of life	19.4	19.4 out of 24 Average,
979335	47	Worcestershire County Council	Carer satisfaction	46.1%	46.1% of carers are satisfied with their care and support Around average,
979335	47	Worcestershire County Council	Carer's quality of life	8.4	8.4 out of 12 Above average,
979335	47	Worcestershire County Council	Permanent admissions to care homes: younger adults	15.9	15.9 admissions per 100,000 younger adults In the middle 60%
979335	47	Worcestershire County Council	The proportion of people aged 65 and over who use social care services who feel safe	71.70%	Above average - 71.70%% of users of social care services felt safe,
979335	47	Worcestershire County Council	User satisfaction	67.3	67.3 of users are satisfied with their care and support Around average,
979335	47	Worcestershire County Council	Users' quality of life	19.2	19.2 out of 24 Average,
979341	00FF	City of York Council	Carer satisfaction	54.5%	54.5% of carers are satisfied with their care and support Above average,
979341	00FF	City of York Council	Carer's quality of life	8.5	8.5 out of 12 Above average,
979341	00FF	City of York Council	Permanent admissions to care homes: younger adults	11.5	11.5 admissions per 100,000 younger adults In the middle 60%
979341	00FF	City of York Council	The proportion of people aged 65 and over who use social care services who feel safe	63.40%	Around average - 63.40%% of users of social care services felt safe,
979341	00FF	City of York Council	User satisfaction	67.4	67.4 of users are satisfied with their care and support Around average,
979341	00FF	City of York Council	Users' quality of life	18.8	18.8 out of 24 Average,
979343	00BM	Bury Metropolitan Borough Council	Carer satisfaction	59.5%	59.5% of carers are satisfied with their care and support Above average,
979343	00BM	Bury Metropolitan Borough Council	Carer's quality of life	8.6	8.6 out of 12 Above average,
979343	00BM	Bury Metropolitan Borough Council	Permanent admissions to care homes: younger adults	14.3	14.3 admissions per 100,000 younger adults In the middle 60%
979343	00BM	Bury Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	75.10%	Above average - 75.10%% of users of social care services felt safe,
979343	00BM	Bury Metropolitan Borough Council	User satisfaction	70.6	70.6 of users are satisfied with their care and support Above average,
979343	00BM	Bury Metropolitan Borough Council	Users' quality of life	19.1	19.1 out of 24 Average,
979344	00CR	Dudley Metropolitan Borough Council	Carer satisfaction	45.9%	45.9% of carers are satisfied with their care and support Around average,
979344	00CR	Dudley Metropolitan Borough Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979344	00CR	Dudley Metropolitan Borough Council	Permanent admissions to care homes: younger adults	18.3	18.3 admissions per 100,000 younger adults In the highest 20%
979344	00CR	Dudley Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	70.80%	Above average - 70.80%% of users of social care services felt safe,
979344	00CR	Dudley Metropolitan Borough Council	User satisfaction	63.8	63.8 of users are satisfied with their care and support Around average,
979344	00CR	Dudley Metropolitan Borough Council	Users' quality of life	19.4	19.4 out of 24 Above average,
979345	00AJ	London Borough of Ealing	Carer satisfaction	32.0%	32.0% of carers are satisfied with their care and support Below average,
979345	00AJ	London Borough of Ealing	Carer's quality of life	7.3	7.3 out of 12 Below average,
979345	00AJ	London Borough of Ealing	Permanent admissions to care homes: younger adults	7.6	7.6 admissions per 100,000 younger adults In the lowest 20%
979345	00AJ	London Borough of Ealing	The proportion of people aged 65 and over who use social care services who feel safe	60.70%	Around average - 60.70%% of users of social care services felt safe,
979345	00AJ	London Borough of Ealing	User satisfaction	58.2	58.2 of users are satisfied with their care and support Below average,
979345	00AJ	London Borough of Ealing	Users' quality of life	18.2	18.2 out of 24 Below average,
979347	00CH	Gateshead Metropolitan Borough Council	Carer satisfaction	50.8%	50.8% of carers are satisfied with their care and support Above average,
979347	00CH	Gateshead Metropolitan Borough Council	Carer's quality of life	9	9 out of 12 Above average,
979347	00CH	Gateshead Metropolitan Borough Council	Permanent admissions to care homes: younger adults	8.2	8.2 admissions per 100,000 younger adults In the lowest 20%
979347	00CH	Gateshead Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	64.30%	Around average - 64.30%% of users of social care services felt safe,
979347	00CH	Gateshead Metropolitan Borough Council	User satisfaction	65.9	65.9 of users are satisfied with their care and support Around average,
979347	00CH	Gateshead Metropolitan Borough Council	Users' quality of life	19.2	19.2 out of 24 Average,
979349	00EC	Middlesbrough Borough Council	Carer satisfaction	52.6%	52.6% of carers are satisfied with their care and support Above average,
979349	00EC	Middlesbrough Borough Council	Carer's quality of life	8.5	8.5 out of 12 Above average,
979349	00EC	Middlesbrough Borough Council	Permanent admissions to care homes: younger adults	33.9	33.9 admissions per 100,000 younger adults In the highest 20%
979349	00EC	Middlesbrough Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	73.10%	Above average - 73.10%% of users of social care services felt safe,
979349	00EC	Middlesbrough Borough Council	User satisfaction	70.4	70.4 of users are satisfied with their care and support Above average,
979349	00EC	Middlesbrough Borough Council	Users' quality of life	19.6	19.6 out of 24 Above average,
979351	00HB	Bristol City Council	Carer satisfaction	43.6%	43.6% of carers are satisfied with their care and support Around average,
979351	00HB	Bristol City Council	Carer's quality of life	8.4	8.4 out of 12 Above average,
979351	00HB	Bristol City Council	Permanent admissions to care homes: younger adults	16.6	16.6 admissions per 100,000 younger adults In the middle 60%
979351	00HB	Bristol City Council	The proportion of people aged 65 and over who use social care services who feel safe	56.40%	Below average - 56.40%% of users of social care services felt safe,
979351	00HB	Bristol City Council	User satisfaction	65.7	65.7 of users are satisfied with their care and support Around average,
979351	00HB	Bristol City Council	Users' quality of life	18.3	18.3 out of 24 Below average,
979352	00AX	Royal Borough of Kingston upon Thames	Carer satisfaction	38.4%	38.4% of carers are satisfied with their care and support Around average,
979352	00AX	Royal Borough of Kingston upon Thames	Carer's quality of life	7.9	7.9 out of 12 Around average,
979352	00AX	Royal Borough of Kingston upon Thames	Permanent admissions to care homes: younger adults	6.4	6.4 admissions per 100,000 younger adults In the lowest 20%
979352	00AX	Royal Borough of Kingston upon Thames	The proportion of people aged 65 and over who use social care services who feel safe	60.20%	Below average - 60.20%% of users of social care services felt safe,
979352	00AX	Royal Borough of Kingston upon Thames	User satisfaction	61.1	61.1 of users are satisfied with their care and support Around average,
979352	00AX	Royal Borough of Kingston upon Thames	Users' quality of life	18.7	18.7 out of 24 Average,
979354	00HP	Borough of Poole	Carer satisfaction	50.1%	50.1% of carers are satisfied with their care and support Above average,
979354	00HP	Borough of Poole	Carer's quality of life	8.5	8.5 out of 12 Above average,
979354	00HP	Borough of Poole	Permanent admissions to care homes: younger adults	14.9	14.9 admissions per 100,000 younger adults In the middle 60%
979354	00HP	Borough of Poole	The proportion of people aged 65 and over who use social care services who feel safe	65.80%	Around average - 65.80%% of users of social care services felt safe,
979354	00HP	Borough of Poole	User satisfaction	61.7	61.7 of users are satisfied with their care and support Around average,
979354	00HP	Borough of Poole	Users' quality of life	19	19 out of 24 Average,
979355	00KC	Central Bedfordshire Council	Carer satisfaction	37.1%	37.1% of carers are satisfied with their care and support Below average,
979355	00KC	Central Bedfordshire Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979355	00KC	Central Bedfordshire Council	Permanent admissions to care homes: younger adults	4.3	4.3 admissions per 100,000 younger adults In the lowest 20%
979355	00KC	Central Bedfordshire Council	The proportion of people aged 65 and over who use social care services who feel safe	66%	Around average - 66%% of users of social care services felt safe,
979355	00KC	Central Bedfordshire Council	User satisfaction	63.6	63.6 of users are satisfied with their care and support Around average,
979355	00KC	Central Bedfordshire Council	Users' quality of life	18.8	18.8 out of 24 Average,
979356	00EW	Cheshire West and Chester Council	Carer satisfaction	46.1%	46.1% of carers are satisfied with their care and support Around average,
979356	00EW	Cheshire West and Chester Council	Carer's quality of life	8.4	8.4 out of 12 Around average,
979356	00EW	Cheshire West and Chester Council	Permanent admissions to care homes: younger adults	18.1	18.1 admissions per 100,000 younger adults In the highest 20%
979356	00EW	Cheshire West and Chester Council	The proportion of people aged 65 and over who use social care services who feel safe	69.30%	Around average - 69.30%% of users of social care services felt safe,
979356	00EW	Cheshire West and Chester Council	User satisfaction	63.5	63.5 of users are satisfied with their care and support Around average,
979356	00EW	Cheshire West and Chester Council	Users' quality of life	19.2	19.2 out of 24 Average,
